,full_score,full_score_raw,full_p,full_p_raw,alpha,source_model,source_layer,sent_embed,mapping_class,metric,preprocessor,preprocess_X,preprocess_y,mapping_UID,mapping_sess_num,mapping_norm,target_UID,target_sess_num,target_norm,result_identifier,mapping_result_identifier,nc,ncsnr,sd_signal,sd_noise,roi,NC_n,UIDs,rois,FL,func_thresh,modeltype,preproc,pcstop,fracs,norm,split_half_se,split_nc_concat_mean,nc_split_half_se_zero_overlap
lang_LH_netw,0.1827838826978114,0.1827838826978114,5.814075121319037e-09,5.814075121319037e-09,10000.0,gpt2-xl,22,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1827561111494705,0.1827561111494705,5.845466389548474e-09,5.845466389548474e-09,10000.0,gpt2-xl,23,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.183009758860234,0.183009758860234,5.564768619266245e-09,5.564768619266245e-09,10000.0,gpt2-xl,24,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1772401894365409,0.1772401894365409,1.6755234105363833e-08,1.6755234105363833e-08,10000.0,gpt2-xl,25,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1686776718086013,0.1686776718086013,8.055660833187993e-08,8.055660833187993e-08,10000.0,gpt2-xl,26,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1751228036195278,0.1751228036195278,2.488532973476663e-08,2.488532973476663e-08,100000.0,gpt2-xl,27,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1722789721379824,0.1722789721379824,4.201530482395108e-08,4.201530482395108e-08,100000.0,gpt2-xl,28,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1720294040791578,0.1720294040791578,4.397347722643976e-08,4.397347722643976e-08,100000.0,gpt2-xl,29,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1759004917273305,0.1759004917273305,2.1532173509171505e-08,2.1532173509171505e-08,100000.0,gpt2-xl,30,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
lang_LH_netw,0.1711439069736608,0.1711439069736608,5.1659759244714284e-08,5.1659759244714284e-08,100000.0,gpt2-xl,31,last-tok,ridgeCV,pearsonr,None,False,False,848-853-865-875,1-2,bySessVoxZ,876,1-2,bySessVoxZ,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,SOURCE-gpt2-xl_last-tok_TARGET-rois-848-853-865-875_1-2_gs_90_MAPPING-ridgeCV-pearsonr,0.5591545773071571,0.3016192997353973,0.1880294992417062,0.6234001,lang_LH_netw,5,"[848, 853, 865, 875, 876]",lang_LH_netw,gs,90,d,swr,5,0.05,bySessVoxZ,0.0324123993665857,0.5568549571391948,False
